,AREA_TITLE,PRIM_STATE,AREA_TYPE,OCC_CODE,OCC_TITLE,TOT_EMP,JOBS_1000,A_MEAN,A_MEDIAN
84,Massachusetts,MA,2,15-1242,Database Administrators,1940,0.532,112090,117420
85,Massachusetts,MA,2,15-1243,Database Architects,1720,0.471,161000,161160
86,Massachusetts,MA,2,15-2051,Data Scientists,9990,2.743,139670,132250
87,Massachusetts,MA,2,43-9021,Data Entry Keyers,1840,0.505,47200,46930
88,Michigan,MI,2,15-1242,Database Administrators,1190,0.27,97660,97880
89,Michigan,MI,2,15-1243,Database Architects,1150,0.262,117600,120810
90,Michigan,MI,2,15-2051,Data Scientists,6450,1.47,102030,99470
91,Michigan,MI,2,43-9021,Data Entry Keyers,2980,0.678,39750,38570
92,Minnesota,MN,2,15-1242,Database Administrators,970,0.331,101010,97230
93,Minnesota,MN,2,15-1243,Database Architects,910,0.312,127730,130420
94,Minnesota,MN,2,15-2051,Data Scientists,3500,1.199,118110,117840
95,Minnesota,MN,2,43-9021,Data Entry Keyers,1320,0.451,43400,41640
96,Mississippi,MS,2,15-1242,Database Administrators,230,0.2,84830,86420
97,Mississippi,MS,2,15-1243,Database Architects,110,0.093,92400,90980
98,Mississippi,MS,2,15-2051,Data Scientists,270,0.232,77830,69430
99,Mississippi,MS,2,43-9021,Data Entry Keyers,660,0.565,36090,33530
100,Missouri,MO,2,15-1242,Database Administrators,1400,0.478,94990,87600
101,Missouri,MO,2,15-1243,Database Architects,1840,0.629,112730,108820
102,Missouri,MO,2,15-2051,Data Scientists,4350,1.491,95310,85570
103,Missouri,MO,2,43-9021,Data Entry Keyers,2220,0.759,43380,36620
104,Montana,MT,2,15-1242,Database Administrators,240,0.48,83070,80960
105,Montana,MT,2,15-1243,Database Architects,50,0.099,124500,116250
106,Montana,MT,2,15-2051,Data Scientists,200,0.394,111490,106860
107,Montana,MT,2,43-9021,Data Entry Keyers,380,0.748,41310,39750
108,Nebraska,NE,2,15-1242,Database Administrators,540,0.535,96080,92470
109,Nebraska,NE,2,15-1243,Database Architects,590,0.584,129750,132320
110,Nebraska,NE,2,15-2051,Data Scientists,1850,1.817,97720,96470
111,Nebraska,NE,2,43-9021,Data Entry Keyers,1110,1.096,36390,36330
112,Nevada,NV,2,15-1242,Database Administrators,470,0.305,87960,86980
113,Nevada,NV,2,15-1243,Database Architects,320,0.211,124010,130360
114,Nevada,NV,2,15-2051,Data Scientists,1230,0.802,98820,93310
115,Nevada,NV,2,43-9021,Data Entry Keyers,480,0.312,40760,37980
116,New Hampshire,NH,2,15-1242,Database Administrators,230,0.34,109190,121820
117,New Hampshire,NH,2,15-2051,Data Scientists,870,1.278,102230,98970
