OCC_CODE,Occupation,Location,Average_Salary,Median_Salary,Total_Jobs,A_MEAN_suppressed,A_MEDIAN_suppressed,TOT_EMP_suppressed,Location_Type,Year,Data_Source
15-1243,Database Architects,Illinois,136370.0,134490.0,1460.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Illinois,119010.0,113490.0,7390.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Illinois,42050.0,39450.0,6680.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Indiana,85480.0,83600.0,1180.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Indiana,132150.0,133150.0,670.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Indiana,92620.0,84050.0,3120.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Indiana,40770.0,39800.0,2690.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Iowa,101500.0,97690.0,380.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Iowa,124910.0,131370.0,280.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Iowa,97300.0,97980.0,2330.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Iowa,41770.0,41090.0,910.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Kansas,118250.0,112740.0,560.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Kansas,124980.0,129060.0,390.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Kansas,107300.0,110320.0,340.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Kansas,37720.0,37710.0,850.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Kentucky,86490.0,83980.0,770.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Kentucky,110400.0,102560.0,510.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Kentucky,100410.0,93490.0,1700.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Kentucky,36430.0,36400.0,1600.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Louisiana,89230.0,86420.0,240.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Louisiana,94470.88669950739,97980.0,350.0,True,True,False,State,2024,BLS OEWS
15-2051,Data Scientists,Louisiana,71740.0,70530.0,1120.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Louisiana,38910.0,36630.0,1540.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Maine,82210.0,76980.0,230.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Maine,134200.0,154790.0,250.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Maine,101890.0,94350.0,1040.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Maine,45290.0,43720.0,200.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Maryland,124430.0,122110.0,2640.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Maryland,143020.0,140710.0,1420.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Maryland,135370.0,124340.0,3400.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Maryland,39970.0,36940.0,2520.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Massachusetts,112090.0,117420.0,1940.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Massachusetts,161000.0,161160.0,1720.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Massachusetts,139670.0,132250.0,9990.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Massachusetts,47200.0,46930.0,1840.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Michigan,97660.0,97880.0,1190.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Michigan,117600.0,120810.0,1150.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Michigan,102030.0,99470.0,6450.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Michigan,39750.0,38570.0,2980.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Minnesota,101010.0,97230.0,970.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Minnesota,127730.0,130420.0,910.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Minnesota,118110.0,117840.0,3500.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Minnesota,43400.0,41640.0,1320.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Mississippi,84830.0,86420.0,230.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Mississippi,92400.0,90980.0,110.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Mississippi,77830.0,69430.0,270.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Mississippi,36090.0,33530.0,660.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Missouri,94990.0,87600.0,1400.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Missouri,112730.0,108820.0,1840.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Missouri,95310.0,85570.0,4350.0,False,False,False,State,2024,BLS OEWS
43-9021,Data Entry Keyers,Missouri,43380.0,36620.0,2220.0,False,False,False,State,2024,BLS OEWS
15-1242,Database Administrators,Montana,83070.0,80960.0,240.0,False,False,False,State,2024,BLS OEWS
15-1243,Database Architects,Montana,124500.0,116250.0,50.0,False,False,False,State,2024,BLS OEWS
15-2051,Data Scientists,Montana,111490.0,106860.0,200.0,False,False,False,State,2024,BLS OEWS
